243. ieder (pron, A1)
244. iedereen (pron, A1)
245. ijs (noun, A1)
246. ik (pron, A1)
247. indonesisch (adj, A1)
248. informatie (noun, A1)
249. interessant (adj, A1)
250. internet (noun, A1)
251. interview (noun, A1)
252. inwonen (verb, A1)
253. inzamelen (verb, A1)
254. italiaans (adj, A1)
255. jaar (noun, A1)
256. jas (noun, A1)
257. je (pron, A1)
258. jij (adj, A1)
259. jong (adj, A1)
260. jongen (noun, A1)
261. jou (pron, A1)
262. kaart (noun, A1)
263. kaas (noun, A1)
264. kalender (noun, A1)
265. kam (noun, A1)
266. kamer (noun, A1)
267. kamermaisonnette (verb, A1)
268. kamerwoning (noun, A1)
269. kammen (verb, A1)
270. kamperen (verb, A1)
271. kantine (noun, A1)
272. kantoor (noun, A1)
273. kassa (noun, A1)
274. kast (noun, A1)
275. kat (noun, A1)
276. katholiek (adj, A1)
277. keer (noun, A1)
278. kennen (verb, A1)
279. kerk (noun, A1)
280. keuken (noun, A1)
281. keukenblok (noun, A1)
282. kijken (verb, A1)
283. kilo (noun, A1)
284. kilometer (noun, A1)
285. kind (noun, A1)
286. klaar (adj, A1)
287. klant (noun, A1)
288. klas (noun, A1)
289. klaslokaal (noun, A1)
290. kleed (noun, A1)
291. kleinkind (noun, A1)
292. kleur (noun, A1)
293. kloppen (verb, A1)
294. knap (adj, A1)
295. knie (noun, A1)
296. koek (noun, A1)
297. koelkast (noun, A1)
298. koffie (noun, A1)
299. koffiedrinken (verb, A1)
300. koffiehoek (noun, A1)
301. komkommer (noun, A1)
302. koninklijk (adj, A1)
303. kop (noun, A1)
304. kort (adj, A1)
305. korting (noun, A1)
306. kraan (noun, A1)
307. krant (noun, A1)
308. krijgen (verb, A1)
309. kus (noun, A1)
310. kwart over negen (noun, A1)
311. kwart over vijf (noun, A1)
312. laat (adj, A1)
313. lachen (verb, A1)
314. land (noun, A1)
315. lang (adj, A1)
316. langs (prep, A1)
317. langzaam (adj, A1)
318. last (noun, A1)
319. laten (verb, A1)
320. lawaai (noun, A1)
321. leeg (adj, A1)
322. leegmaken (verb, A1)
323. leerling (noun, A1)
324. leggen (verb, A1)
325. leraar (noun, A1)
326. lerares (noun, A1)
327. les (noun, A1)
328. lesgeven (verb, A1)
