215. alsmaar (adv, B1)
216. alternatief (adj, B1)
217. althans (adv, B1)
218. ambacht (noun, B1)
219. ambassade (noun, B1)
220. ambassadeur (noun, B1)
221. ambitie (noun, B1)
222. ambitieniveau (noun, B1)
223. ambitieus (adj, B1)
224. ambtenaar (noun, B1)
225. ambulance (noun, B1)
226. amfetamine (noun, B1)
227. amfibie (noun, B1)
228. amoreel (adj, B1)
229. amper (adv, B1)
230. amputeren (verb, B1)
231. amusement (noun, B1)
232. amuseren (verb, B1)
233. anarchistisch (adj, B1)
234. andersom (adv, B1)
235. anderstalig (adj, B1)
236. anekdote (noun, B1)
237. angstzweet (noun, B1)
238. animatie (noun, B1)
239. annuleren (verb, B1)
240. anorexia (noun, B1)
241. antenne (noun, B1)
242. anti-houding (noun, B1)
243. anti-islam (noun, B1)
244. anti-kraak (adj, B1)
245. anti-stressruimte (noun, B1)
246. antibioticaverbruik (noun, B1)
247. anticlimax (noun, B1)
248. antisociaal (adj, B1)
249. antwerps (adj, B1)
250. aow (noun, B1)
251. apostel (noun, B1)
252. app (noun, B1)
253. applaudisseren (verb, B1)
254. applaus (noun, B1)
255. appreciëren (verb, B1)
256. aquamarijn (noun, B1)
257. aquaria (noun, B1)
258. arbeid (noun, B1)
259. arbeidsmarkt (noun, B1)
260. arbeidsmigratie (noun, B1)
261. arbeidsongeschikten (adj, B1)
262. arbeidsongeschiktheid (noun, B1)
263. arbeidsparticipatie (noun, B1)
264. architecturaal (adj, B1)
265. argument (noun, B1)
266. armenhuis (noun, B1)
267. armoedegrens (noun, B1)
268. armoederapport (noun, B1)
269. arrangement (noun, B1)
270. arriveren (verb, B1)
271. arsenaal (noun, B1)
272. artiestenduo (noun, B1)
273. artiestenwereld (noun, B1)
274. artikel (noun, B1)
275. artistiek (adj, B1)
276. artsenopleiding (noun, B1)
277. asielprocedure (noun, B1)
278. aspect (noun, B1)
279. assistent-resident (noun, B1)
280. astma (noun, B1)
281. astmapatiënt (noun, B1)
282. astronomisch (adj, B1)
283. atelier (noun, B1)
284. atleet (noun, B1)
285. atletiek (noun, B1)
286. atletiekpiste (noun, B1)
287. atmosfeer (noun, B1)
288. attitude (noun, B1)
289. audiobijdrage (noun, B1)
290. audioboek (noun, B1)
291. auteur (noun, B1)
292. auteursrecht (noun, B1)
293. auto-ongeluk (noun, B1)
294. autoband (noun, B1)
295. autobelasting (noun, B1)
296. autobestuurder (noun, B1)
297. autobezit (noun, B1)
298. autobiografie (noun, B1)
299. autobus (noun, B1)
300. autodealer (noun, B1)
301. autodelen (noun, B1)
302. autodichtheid (noun, B1)
303. autogebruik (noun, B1)
304. automaat (noun, B1)
305. automatiseren (verb, B1)
306. autoraam (noun, B1)
307. autoradio (noun, B1)
308. autoritair (adj, B1)
309. autosnelweg (noun, B1)
310. autoverhuurbedrijf (noun, B1)
311. avondklok (noun, B1)
312. avondspits (noun, B1)
313. avonturenbos (noun, B1)
314. azijn (noun, B1)
315. baat (noun, B1)
316. babbelen (verb, B1)
317. babyboomer (noun, B1)
318. badhanddoek (noun, B1)
319. badlinnen (noun, B1)
320. badplaats (noun, B1)
321. bagageband (noun, B1)
322. bajonet (noun, B1)
323. bakenen (verb, B1)
324. bakkerij (noun, B1)
325. bakstenen (adj, B1)
326. ballon (noun, B1)
327. balsport (noun, B1)
328. bamboe (noun, B1)
329. banaal (adj, B1)
330. bananenschil (noun, B1)
331. banditisme (noun, B1)
332. bankbediende (noun, B1)
333. bankieren (verb, B1)
334. bankkaart (noun, B1)
335. bankpas (noun, B1)
336. bankstel (noun, B1)
337. bar (adj, B1)
